data_id,year,product_id,food,production,import_quantity,export_quantity
127,1965,2,2917.0,111.0,32.0,0.0
128,1966,2,2377.0,241.0,23.0,0.0
129,1967,2,3081.0,128.0,29.0,0.0
130,1968,2,3513.0,30.0,35.0,0.0
131,1969,2,3569.0,32.0,51.0,0.0
132,1970,2,3393.0,52.0,58.0,0.0
133,1971,2,3562.0,108.0,35.0,0.0
134,1972,2,3722.0,138.0,59.0,0.0
135,1973,2,3873.0,91.0,72.0,0.0
136,1974,2,3384.0,89.0,53.0,0.0
137,1975,2,3473.0,438.0,40.0,0.0
138,1976,2,3552.0,459.0,37.0,0.0
139,1977,2,3888.0,308.0,32.0,0.0
140,1978,2,3086.0,502.0,37.0,0.0
141,1979,2,3000.0,287.0,32.0,0.0
142,1980,2,3645.0,292.0,35.0,0.0
143,1981,2,3627.0,416.0,73.0,0.0
144,1982,2,3618.0,453.0,31.0,0.0
145,1983,2,3011.0,429.0,29.0,0.0
146,1984,2,4244.0,521.0,30.0,0.0
147,1985,2,4370.0,533.0,29.0,0.0
148,1986,2,4840.0,403.0,30.0,0.0
149,1987,2,4281.0,483.0,32.0,0.0
150,1988,2,4616.0,372.0,28.0,0.0
151,1989,2,4800.0,299.0,25.0,0.0
152,1990,2,4814.0,358.0,30.0,0.0
153,1991,2,4261.0,559.0,26.0,0.0
154,1992,2,3632.0,655.0,14.0,0.0
155,1993,2,3359.0,659.0,9.0,1.0
156,1994,2,3240.0,607.0,8.0,8.0
157,1995,2,2733.0,630.0,3.0,3.0
158,1996,2,2630.0,605.0,17.0,17.0
159,1997,2,2394.0,846.0,15.0,15.0
160,1998,2,2247.0,688.0,6.0,6.0
161,1999,2,1868.0,647.0,3.0,3.0
162,2000,2,1894.0,332.0,8.0,8.0
163,2001,2,1873.0,526.0,7.0,7.0
164,2002,2,1957.0,597.0,7.0,7.0
165,2003,2,1990.0,611.0,9.0,9.0
166,2004,2,1951.0,596.0,9.0,9.0
167,2005,2,1794.0,809.0,11.0,11.0
168,2006,2,1705.0,772.0,8.0,8.0
169,2007,2,1690.0,839.0,8.0,8.0
170,2008,2,1769.0,960.0,10.0,10.0
171,2009,2,1741.0,773.0,8.0,8.0
172,2010,2,1727.0,747.0,6.0,6.0
173,2011,2,1625.0,716.0,6.0,6.0
174,2012,2,1642.0,815.0,8.0,8.0
175,2013,2,1633.0,807.0,9.0,9.0
176,2014,2,1654.0,642.0,10.0,10.0
177,2015,2,1649.0,445.0,9.0,9.0
178,2016,2,1589.0,374.0,10.0,10.0
