data_id,year,product_id,food,production,import_quantity,export_quantity
128,1966,2,2377.0,241.0,23.0,0.0
129,1966,3,17900.0,31012.0,2002.0,1978.0
130,1966,4,1669.0,1780.0,34.0,0.1
131,1966,5,1974.86,1494.5,130.13,253.81
132,1966,6,1511.0,1603.0,335.0,23.0
133,1966,7,6482.0,7184.0,772.0,3.0
134,1966,8,13355.43,41977.0,3564.0,156.0
135,1966,9,65.0,3.0,44.0,0.0
136,1966,10,1807.0,2009.0,432.0,428.0
137,1966,11,885.0,4360.0,0.0,536.0
138,1966,12,1420.0,1465.0,0.0,0.0
139,1966,13,11527.0,28991.4,203.0,191.0
140,1966,14,758.0,745.0,13.0,0.0
141,1966,15,661.0,442.0,283.0,140.0
142,1966,16,5295.0,11830.0,0.0,277.0
143,1966,17,5056.0,1966.0,1849.0,108.0
144,1966,18,68.0,58.0,21.0,12.0
145,1966,19,11599.0,16813.0,268.0,25.0
146,1966,20,16393.0,34469.0,5047.0,3211.0
147,1967,0,3452.0,3274.6,290.8,98.0
148,1967,1,236.0,13296.0,167.0,452.0
149,1967,2,3081.0,128.0,29.0,0.0
150,1967,3,17700.0,31188.0,2111.0,2730.0
151,1967,4,1793.0,1900.0,46.0,0.0
152,1967,5,2309.73,1505.8,143.57,337.9
153,1967,6,1673.0,1827.0,312.0,20.0
154,1967,7,6879.0,7386.0,760.0,4.0
155,1967,8,13585.22,44625.0,3765.0,169.0
156,1967,9,75.0,7.0,56.0,0.0
157,1967,10,1880.0,2240.0,461.0,671.0
158,1967,11,865.0,3792.0,0.0,428.0
159,1967,12,1260.0,1456.0,3.0,0.0
160,1967,13,10915.0,31503.1,114.0,140.0
161,1967,14,792.0,764.0,28.0,0.0
162,1967,15,891.0,556.0,408.0,140.0
163,1967,16,5080.0,11687.0,0.0,338.0
164,1967,17,5011.0,1000.0,2489.0,112.0
165,1967,18,70.0,57.0,23.0,10.0
166,1967,19,11005.0,18864.0,334.0,26.0
167,1967,20,15776.0,32774.0,2110.0,5784.0
168,1968,0,4024.0,3521.0,285.0,106.0
169,1968,1,241.0,15020.0,169.0,614.0
170,1968,2,3513.0,30.0,35.0,0.0
171,1968,3,17900.0,31457.0,2043.0,2940.0
172,1968,4,1887.0,2004.0,45.0,0.3
173,1968,5,2475.64,1711.2,140.92,322.35
174,1968,6,2093.0,2263.0,377.0,27.0
175,1968,7,7207.0,7610.0,761.0,7.0
